Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,TenureGroup,WarehouseDistanceCat,RecencyStatus,Tenure_Days,Churn_Score,Churn_Risk_Level,Tenure_Bucket
4.0,18.0,3,Mobile Phone,1,Married,9,1,2.0,139.29,0,0-6 Months (New),Moderate,Active,120.0,0.01,Low Risk (<30%),4-6 Months (Mid-High)
18.0,7.0,4,Fashion,3,Married,4,0,4.0,207.48,0,6-24 Months (Regular),Near,Active,540.0,0.05,Low Risk (<30%),12+ Months (Loyal)
15.0,7.0,2,Fashion,5,Married,3,0,8.0,208.92,0,6-24 Months (Regular),Near,Active,450.0,0.0,Low Risk (<30%),12+ Months (Loyal)
17.0,21.0,4,Grocery,5,Married,8,0,1.0,296.59,0,6-24 Months (Regular),Far,Active,510.0,0.0,Low Risk (<30%),12+ Months (Loyal)
9.0,7.0,4,Mobile Phone,3,Married,2,0,0.0,120.08,0,6-24 Months (Regular),Near,Active,270.0,0.12,Low Risk (<30%),7-12 Months (Moderate)
4.0,15.0,4,Fashion,3,Married,7,0,8.0,197.64,0,0-6 Months (New),Moderate,Active,120.0,0.02,Low Risk (<30%),4-6 Months (Mid-High)
5.0,9.0,4,Mobile Phone,1,Married,2,1,3.0,151.95,0,0-6 Months (New),Near,Active,150.0,0.05,Low Risk (<30%),4-6 Months (Mid-High)
11.0,17.0,2,Mobile Phone,1,Single,5,0,1.0,171.8,0,6-24 Months (Regular),Moderate,Active,330.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
24.0,6.0,4,Fashion,5,Single,4,0,8.0,174.84,0,6-24 Months (Regular),Near,Active,720.0,0.0,Low Risk (<30%),12+ Months (Loyal)
0.0,6.0,3,Laptop & Accessory,3,Divorced,2,0,7.0,152.96,0,0-6 Months (New),Near,Active,0.0,0.03,Low Risk (<30%),0-3 Months (High Risk)
3.0,6.0,3,Laptop & Accessory,1,Single,2,0,7.0,140.11,0,0-6 Months (New),Near,Active,90.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
61.0,28.0,4,Grocery,1,Married,6,1,1.0,303.75,0,24+ Months (Loyal),Far,Active,1830.0,0.0,Low Risk (<30%),12+ Months (Loyal)
16.0,9.0,4,Fashion,1,Married,4,1,3.0,226.24,0,6-24 Months (Regular),Near,Active,480.0,0.14,Low Risk (<30%),12+ Months (Loyal)
25.0,10.0,3,Grocery,2,Divorced,3,0,4.0,265.55,0,24+ Months (Loyal),Near,Active,750.0,0.0,Low Risk (<30%),12+ Months (Loyal)
9.0,22.0,4,Laptop & Accessory,5,Married,5,0,2.0,156.47,0,6-24 Months (Regular),Far,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
8.0,8.0,4,Laptop & Accessory,1,Married,11,0,2.0,179.84,0,6-24 Months (Regular),Near,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
8.0,33.0,5,Mobile Phone,3,Married,3,0,1.0,145.29,0,6-24 Months (Regular),Far,Active,240.0,0.03,Low Risk (<30%),7-12 Months (Moderate)
0.0,14.0,4,Mobile Phone,4,Married,2,0,3.0,123.68,0,0-6 Months (New),Moderate,Active,0.0,0.27,Low Risk (<30%),0-3 Months (High Risk)
17.0,19.0,5,Grocery,4,Married,3,0,10.0,268.36,0,6-24 Months (Regular),Moderate,Active,510.0,0.02,Low Risk (<30%),12+ Months (Loyal)
8.0,26.0,5,Mobile Phone,1,Married,3,0,8.0,154.29,0,6-24 Months (Regular),Far,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
3.0,14.0,3,Mobile Phone,1,Single,1,0,7.0,125.639999999999,0,0-6 Months (New),Moderate,Active,90.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
0.0,8.0,3,Laptop & Accessory,3,Single,2,1,4.0,144.78,0,0-6 Months (New),Near,Active,0.0,0.15,Low Risk (<30%),0-3 Months (High Risk)
4.0,32.0,3,Mobile Phone,3,Married,2,0,3.0,129.11,0,0-6 Months (New),Far,Active,120.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
1.0,10.0,4,Mobile Phone,5,Married,7,0,3.0,165.31,1,0-6 Months (New),Near,Active,30.0,0.67,Medium Risk (30-70%),0-3 Months (High Risk)
1.0,16.0,4,Mobile Phone,1,Single,3,0,1.0,135.81,1,0-6 Months (New),Moderate,Active,30.0,0.68,Medium Risk (30-70%),0-3 Months (High Risk)
1.0,31.0,6,Mobile Phone,1,Single,3,1,1.0,148.4,1,0-6 Months (New),Far,Active,30.0,1.0,High Risk (>70%),0-3 Months (High Risk)
0.0,16.0,3,Laptop & Accessory,2,Single,1,0,1.0,149.5,0,0-6 Months (New),Moderate,Active,0.0,0.35,Medium Risk (30-70%),0-3 Months (High Risk)
1.0,16.0,3,Laptop & Accessory,3,Single,4,0,7.0,136.6,0,0-6 Months (New),Moderate,Active,30.0,0.1,Low Risk (<30%),0-3 Months (High Risk)
13.0,21.0,4,Fashion,3,Married,2,0,12.0,204.35,0,6-24 Months (Regular),Far,Active,390.0,0.03,Low Risk (<30%),12+ Months (Loyal)
5.0,12.0,4,Laptop & Accessory,3,Married,3,0,3.0,208.46,0,0-6 Months (New),Moderate,Active,150.0,0.06,Low Risk (<30%),4-6 Months (Mid-High)
0.0,14.0,3,Mobile Phone,3,Married,2,0,3.0,125.169999999999,0,0-6 Months (New),Moderate,Active,0.0,0.13,Low Risk (<30%),0-3 Months (High Risk)
15.0,13.0,4,Fashion,3,Single,3,0,3.0,217.41,0,6-24 Months (Regular),Moderate,Active,450.0,0.01,Low Risk (<30%),12+ Months (Loyal)
24.0,14.0,4,Fashion,4,Divorced,6,0,3.0,224.899999999999,0,6-24 Months (Regular),Moderate,Active,720.0,0.0,Low Risk (<30%),12+ Months (Loyal)
8.0,16.0,5,Fashion,4,Single,3,0,3.0,211.21,0,6-24 Months (Regular),Moderate,Active,240.0,0.04,Low Risk (<30%),7-12 Months (Moderate)
14.0,14.0,3,Laptop & Accessory,4,Married,6,0,4.0,143.93,0,6-24 Months (Regular),Moderate,Active,420.0,0.01,Low Risk (<30%),12+ Months (Loyal)
5.0,15.0,5,Laptop & Accessory,1,Married,1,0,7.0,146.68,0,0-6 Months (New),Moderate,Active,150.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
9.0,11.0,4,Laptop & Accessory,3,Single,3,1,2.0,167.49,0,6-24 Months (Regular),Moderate,Active,270.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
1.0,31.0,4,Mobile Phone,2,Divorced,2,0,2.0,149.0,0,0-6 Months (New),Far,Active,30.0,0.07,Low Risk (<30%),0-3 Months (High Risk)
0.0,6.0,3,Laptop & Accessory,4,Divorced,1,1,4.0,163.49,0,0-6 Months (New),Near,Active,0.0,0.09,Low Risk (<30%),0-3 Months (High Risk)
7.0,8.0,3,Laptop & Accessory,5,Single,1,1,2.0,145.38,0,6-24 Months (Regular),Near,Active,210.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
6.0,12.0,4,Laptop & Accessory,4,Married,3,0,4.0,190.24,0,0-6 Months (New),Moderate,Active,180.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
1.0,10.0,4,Mobile Phone,1,Single,3,1,1.0,140.69,1,0-6 Months (New),Near,Active,30.0,0.97,High Risk (>70%),0-3 Months (High Risk)
9.0,18.0,4,Fashion,2,Single,1,0,8.0,188.58,0,6-24 Months (Regular),Moderate,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
8.0,11.0,4,Fashion,1,Married,4,1,3.0,222.13,0,6-24 Months (Regular),Moderate,Active,240.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
9.0,6.0,3,Mobile Phone,1,Married,4,0,2.0,122.699999999999,0,6-24 Months (Regular),Near,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
11.0,22.0,3,Laptop & Accessory,4,Single,3,0,2.0,141.98,0,6-24 Months (Regular),Far,Active,330.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
4.0,10.0,4,Mobile Phone,1,Married,6,0,5.0,145.97,0,0-6 Months (New),Near,Active,120.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
25.0,10.0,4,Grocery,4,Single,5,0,1.0,262.34,0,24+ Months (Loyal),Near,Active,750.0,0.0,Low Risk (<30%),12+ Months (Loyal)
2.0,19.0,4,Laptop & Accessory,4,Married,5,1,3.0,140.25,0,0-6 Months (New),Moderate,Active,60.0,0.05,Low Risk (<30%),0-3 Months (High Risk)
30.0,6.0,3,Fashion,2,Divorced,4,1,3.0,219.04,0,24+ Months (Loyal),Near,Active,900.0,0.01,Low Risk (<30%),12+ Months (Loyal)
18.0,10.0,5,Fashion,3,Married,5,0,3.0,197.56,0,6-24 Months (Regular),Near,Active,540.0,0.01,Low Risk (<30%),12+ Months (Loyal)
19.0,32.0,4,Laptop & Accessory,4,Single,9,0,2.0,179.91,0,6-24 Months (Regular),Far,Active,570.0,0.0,Low Risk (<30%),12+ Months (Loyal)
9.0,15.0,3,Mobile Phone,1,Married,4,0,3.0,120.75,0,6-24 Months (Regular),Moderate,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
8.0,23.0,3,Laptop & Accessory,5,Married,4,1,7.0,189.66,0,6-24 Months (Regular),Far,Active,240.0,0.02,Low Risk (<30%),7-12 Months (Moderate)
0.0,30.0,1,Mobile Phone,5,Single,2,0,0.0,110.91,1,0-6 Months (New),Far,Active,0.0,0.82,High Risk (>70%),0-3 Months (High Risk)
8.0,32.0,3,Fashion,1,Single,2,1,7.0,188.37,0,6-24 Months (Regular),Far,Active,240.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
4.0,15.0,2,Fashion,5,Married,2,1,8.0,239.16,0,0-6 Months (New),Moderate,Active,120.0,0.05,Low Risk (<30%),4-6 Months (Mid-High)
0.0,35.0,4,Laptop & Accessory,3,Single,2,0,8.0,145.08,1,0-6 Months (New),Far,Active,0.0,0.69,Medium Risk (30-70%),0-3 Months (High Risk)
2.0,23.0,4,Fashion,5,Single,2,0,9.0,179.88,0,0-6 Months (New),Far,Active,60.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
4.0,8.0,5,Mobile Phone,1,Married,5,1,0.0,127.78,1,0-6 Months (New),Near,Active,120.0,0.88,High Risk (>70%),4-6 Months (Mid-High)
19.0,21.0,3,Others,4,Married,6,0,3.0,290.81,0,6-24 Months (Regular),Far,Active,570.0,0.0,Low Risk (<30%),12+ Months (Loyal)
19.0,14.0,3,Mobile Phone,3,Married,9,0,8.0,123.389999999999,1,6-24 Months (Regular),Moderate,Active,570.0,0.7,High Risk (>70%),12+ Months (Loyal)
14.0,7.0,6,Laptop & Accessory,1,Married,4,1,3.0,199.57,0,6-24 Months (Regular),Near,Active,420.0,0.02,Low Risk (<30%),12+ Months (Loyal)
15.0,9.0,4,Grocery,5,Divorced,9,0,9.0,290.95,0,6-24 Months (Regular),Near,Active,450.0,0.0,Low Risk (<30%),12+ Months (Loyal)
5.0,11.0,3,Laptop & Accessory,4,Married,2,0,3.0,165.24,0,0-6 Months (New),Moderate,Active,150.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
1.0,14.0,2,Mobile Phone,5,Single,2,0,8.0,160.78,0,0-6 Months (New),Moderate,Active,30.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
8.0,14.0,3,Mobile Phone,3,Married,2,0,0.0,124.039999999999,0,6-24 Months (Regular),Moderate,Active,240.0,0.03,Low Risk (<30%),7-12 Months (Moderate)
21.0,11.0,4,Laptop & Accessory,3,Single,5,0,1.0,154.76,0,6-24 Months (Regular),Moderate,Active,630.0,0.1,Low Risk (<30%),12+ Months (Loyal)
1.0,7.0,5,Mobile Phone,3,Married,8,1,3.0,153.0,1,0-6 Months (New),Near,Active,30.0,0.83,High Risk (>70%),0-3 Months (High Risk)
24.0,12.0,4,Mobile Phone,3,Single,1,0,7.0,128.38,0,6-24 Months (Regular),Moderate,Active,720.0,0.0,Low Risk (<30%),12+ Months (Loyal)
14.0,16.0,3,Laptop & Accessory,1,Single,8,0,10.0,162.3,0,6-24 Months (Regular),Moderate,Active,420.0,0.0,Low Risk (<30%),12+ Months (Loyal)
13.0,14.0,3,Mobile Phone,1,Married,9,0,0.0,124.06,0,6-24 Months (Regular),Moderate,Active,390.0,0.04,Low Risk (<30%),12+ Months (Loyal)
0.0,10.0,3,Laptop & Accessory,3,Divorced,2,1,3.0,141.62,0,0-6 Months (New),Near,Active,0.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
21.0,10.0,4,Grocery,3,Married,11,1,14.0,262.7,0,6-24 Months (Regular),Near,Active,630.0,0.11,Low Risk (<30%),12+ Months (Loyal)
29.0,9.0,5,Mobile Phone,1,Married,10,0,5.0,151.62,0,24+ Months (Loyal),Near,Active,870.0,0.0,Low Risk (<30%),12+ Months (Loyal)
7.0,14.0,3,Laptop & Accessory,5,Married,4,0,0.0,151.21,0,6-24 Months (Regular),Moderate,Active,210.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
14.0,15.0,4,Laptop & Accessory,5,Married,4,1,1.0,190.16,0,6-24 Months (Regular),Moderate,Active,420.0,0.14,Low Risk (<30%),12+ Months (Loyal)
5.0,9.0,6,Mobile Phone,1,Married,6,1,1.0,152.78,1,0-6 Months (New),Near,Active,150.0,0.89,High Risk (>70%),4-6 Months (Mid-High)
5.0,14.0,5,Mobile Phone,3,Married,5,0,3.0,148.29,0,0-6 Months (New),Moderate,Active,150.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
2.0,15.0,5,Mobile Phone,2,Married,3,0,5.0,174.36,0,0-6 Months (New),Moderate,Active,60.0,0.02,Low Risk (<30%),0-3 Months (High Risk)
3.0,7.0,6,Mobile Phone,2,Married,3,0,9.0,152.2,0,0-6 Months (New),Near,Active,90.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
0.0,12.0,3,Mobile Phone,1,Married,2,1,2.0,56.0,0,0-6 Months (New),Moderate,Active,0.0,0.36,Medium Risk (30-70%),0-3 Months (High Risk)
11.0,20.0,3,Laptop & Accessory,4,Married,1,0,7.0,199.24,0,6-24 Months (Regular),Moderate,Active,330.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
6.0,6.0,1,Grocery,3,Married,5,0,5.0,261.84,0,0-6 Months (New),Near,Active,180.0,0.02,Low Risk (<30%),4-6 Months (Mid-High)
2.0,15.0,5,Mobile Phone,1,Married,3,0,5.0,174.36,0,0-6 Months (New),Moderate,Active,60.0,0.02,Low Risk (<30%),0-3 Months (High Risk)
1.0,9.0,4,Mobile Phone,4,Married,6,0,3.0,146.87,0,0-6 Months (New),Near,Active,30.0,0.02,Low Risk (<30%),0-3 Months (High Risk)
14.0,15.0,3,Fashion,3,Married,4,1,7.0,181.89,0,6-24 Months (Regular),Moderate,Active,420.0,0.07,Low Risk (<30%),12+ Months (Loyal)
3.0,11.0,4,Mobile Phone,2,Married,10,0,3.0,137.61,0,0-6 Months (New),Moderate,Active,90.0,0.02,Low Risk (<30%),0-3 Months (High Risk)
26.0,9.0,5,Mobile Phone,2,Single,9,0,3.0,157.12,0,24+ Months (Loyal),Near,Active,780.0,0.0,Low Risk (<30%),12+ Months (Loyal)
1.0,20.0,5,Laptop & Accessory,5,Married,7,1,3.0,186.34,1,0-6 Months (New),Moderate,Active,30.0,0.97,High Risk (>70%),0-3 Months (High Risk)
5.0,16.0,3,Laptop & Accessory,1,Single,9,0,0.0,146.48,0,0-6 Months (New),Moderate,Active,150.0,0.02,Low Risk (<30%),4-6 Months (Mid-High)
13.0,14.0,3,Laptop & Accessory,5,Married,3,1,0.0,165.16,0,6-24 Months (Regular),Moderate,Active,390.0,0.08,Low Risk (<30%),12+ Months (Loyal)
4.0,8.0,3,Laptop & Accessory,2,Single,5,1,5.0,165.82,0,0-6 Months (New),Near,Active,120.0,0.05,Low Risk (<30%),4-6 Months (Mid-High)
0.0,14.0,3,Mobile Phone,2,Divorced,1,0,1.0,124.0,0,0-6 Months (New),Moderate,Active,0.0,0.08,Low Risk (<30%),0-3 Months (High Risk)
1.0,32.0,5,Mobile Phone,4,Single,6,1,3.0,148.13,1,0-6 Months (New),Far,Active,30.0,0.99,High Risk (>70%),0-3 Months (High Risk)
30.0,11.0,4,Others,5,Married,6,0,3.0,324.43,0,24+ Months (Loyal),Moderate,Active,900.0,0.0,Low Risk (<30%),12+ Months (Loyal)
0.0,26.0,5,Laptop & Accessory,3,Divorced,4,1,2.0,145.59,1,0-6 Months (New),Far,Active,0.0,0.99,High Risk (>70%),0-3 Months (High Risk)
9.0,8.0,4,Mobile Phone,3,Single,7,1,0.0,120.9,1,6-24 Months (Regular),Near,Active,270.0,0.95,High Risk (>70%),7-12 Months (Moderate)
17.0,11.0,5,Fashion,2,Single,5,0,3.0,227.31,0,6-24 Months (Regular),Moderate,Active,510.0,0.07,Low Risk (<30%),12+ Months (Loyal)
26.0,15.0,4,Mobile Phone,5,Divorced,11,0,5.0,154.5,0,24+ Months (Loyal),Moderate,Active,780.0,0.0,Low Risk (<30%),12+ Months (Loyal)
5.0,25.0,1,Mobile Phone,3,Married,7,1,2.0,127.59,1,0-6 Months (New),Far,Active,150.0,0.81,High Risk (>70%),4-6 Months (Mid-High)
0.0,14.0,4,Mobile Phone,3,Divorced,2,0,2.0,125.389999999999,0,0-6 Months (New),Moderate,Active,0.0,0.22,Low Risk (<30%),0-3 Months (High Risk)
19.0,6.0,3,Fashion,5,Married,2,0,7.0,204.53,0,6-24 Months (Regular),Near,Active,570.0,0.02,Low Risk (<30%),12+ Months (Loyal)
8.0,14.0,4,Mobile Phone,5,Single,2,0,2.0,124.5,0,6-24 Months (Regular),Moderate,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
9.0,12.0,3,Laptop & Accessory,3,Married,3,1,5.0,123.06,0,6-24 Months (Regular),Moderate,Active,270.0,0.06,Low Risk (<30%),7-12 Months (Moderate)
9.0,9.0,3,Mobile Phone,1,Married,2,0,0.0,117.06,0,6-24 Months (Regular),Near,Active,270.0,0.11,Low Risk (<30%),7-12 Months (Moderate)
1.0,20.0,5,Mobile Phone,5,Married,6,1,1.0,148.35,1,0-6 Months (New),Moderate,Active,30.0,1.0,High Risk (>70%),0-3 Months (High Risk)
9.0,13.0,3,Mobile Phone,2,Single,3,0,1.0,146.78,0,6-24 Months (Regular),Moderate,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
1.0,10.0,4,Mobile Phone,3,Single,3,0,8.0,165.84,1,0-6 Months (New),Near,Active,30.0,0.64,Medium Risk (30-70%),0-3 Months (High Risk)
8.0,11.0,4,Laptop & Accessory,3,Divorced,11,0,3.0,190.38,0,6-24 Months (Regular),Moderate,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
26.0,7.0,4,Grocery,3,Married,5,1,3.0,229.649999999999,0,24+ Months (Loyal),Near,Active,780.0,0.0,Low Risk (<30%),12+ Months (Loyal)
2.0,16.0,4,Mobile Phone,3,Married,7,0,3.0,148.77,0,0-6 Months (New),Moderate,Active,60.0,0.01,Low Risk (<30%),0-3 Months (High Risk)
9.0,22.0,3,Mobile Phone,3,Single,2,0,4.0,121.44,0,6-24 Months (Regular),Far,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
4.0,14.0,4,Laptop & Accessory,3,Married,3,0,10.0,159.91,0,0-6 Months (New),Moderate,Active,120.0,0.01,Low Risk (<30%),4-6 Months (Mid-High)
16.0,30.0,4,Grocery,2,Single,4,0,1.0,284.92,0,6-24 Months (Regular),Far,Active,480.0,0.0,Low Risk (<30%),12+ Months (Loyal)
1.0,12.0,4,Mobile Phone,4,Single,3,1,3.0,149.78,0,0-6 Months (New),Moderate,Active,30.0,0.14,Low Risk (<30%),0-3 Months (High Risk)
9.0,23.0,4,Fashion,3,Married,6,1,1.0,201.32,0,6-24 Months (Regular),Far,Active,270.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
2.0,26.0,3,Mobile Phone,1,Married,2,0,10.0,138.12,0,0-6 Months (New),Far,Active,60.0,0.02,Low Risk (<30%),0-3 Months (High Risk)
10.0,14.0,3,Laptop & Accessory,4,Married,3,0,7.0,140.71,0,6-24 Months (Regular),Moderate,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
1.0,14.0,5,Laptop & Accessory,3,Divorced,4,0,1.0,186.32,0,0-6 Months (New),Moderate,Active,30.0,0.25,Low Risk (<30%),0-3 Months (High Risk)
23.0,14.0,3,Mobile Phone,1,Married,5,0,0.0,123.8,0,6-24 Months (Regular),Moderate,Active,690.0,0.04,Low Risk (<30%),12+ Months (Loyal)
